,Title,Director,Year
0,Guardians of the Galaxy,James Gunn,2014
1,Prometheus,Ridley Scott,2012
2,Split,M. Night Shyamalan,2016
3,Sing,Christophe Lourdelet,2016
4,Suicide Squad,David Ayer,2016
5,The Great Wall,Yimou Zhang,2016
6,La La Land,Damien Chazelle,2016
7,Mindhorn,Sean Foley,2016
8,The Lost City of Z,James Gray,2016
9,Passengers,Morten Tyldum,2016
10,Fantastic Beasts and Where to Find Them,David Yates,2016
11,Hidden Figures,Theodore Melfi,2016
12,Rogue One,Gareth Edwards,2016
13,Moana,Ron Clements,2016
14,Colossal,Nacho Vigalondo,2016
15,The Secret Life of Pets,Chris Renaud,2016
16,Hacksaw Ridge,Mel Gibson,2016
17,Jason Bourne,Paul Greengrass,2016
18,Lion,Garth Davis,2016
19,Arrival,Denis Villeneuve,2016
20,Gold,Stephen Gaghan,2016
21,Manchester by the Sea,Kenneth Lonergan,2016
22,Hounds of Love,Ben Young,2016
23,Trolls,Walt Dohrn,2016
24,Independence Day: Resurgence,Roland Emmerich,2016
25,Paris pieds nus,Dominique Abel,2016
26,Bahubali: The Beginning,S.S. Rajamouli,2015
27,Dead Awake,Phillip Guzman,2016
28,Bad Moms,Jon Lucas,2016
29,Assassin's Creed,Justin Kurzel,2016
30,Why Him?,John Hamburg,2016
31,Nocturnal Animals,Tom Ford,2016
32,X-Men: Apocalypse,Bryan Singer,2016
33,Deadpool,Tim Miller,2016
34,Resident Evil: The Final Chapter,Paul W.S. Anderson,2016
35,Captain America: Civil War,Anthony Russo,2016
36,Interstellar,Christopher Nolan,2014
37,Doctor Strange,Scott Derrickson,2016
38,The Magnificent Seven,Antoine Fuqua,2016
39,5/25/1977,Patrick Read Johnson,2007
40,Sausage Party,Greg Tiernan,2016
41,Moonlight,Barry Jenkins,2016
42,Don't Fuck in the Woods,Shawn Burkett,2016
43,The Founder,John Lee Hancock,2016
44,Lowriders,Ricardo de Montreuil,2016
45,Pirates of the Caribbean: On Stranger Tides,Rob Marshall,2011
46,Miss Sloane,John Madden,2016
47,Fallen,Scott Hicks,2016
48,Star Trek Beyond,Justin Lin,2016
49,The Last Face,Sean Penn,2016
50,Star Wars: Episode VII - The Force Awakens,J.J. Abrams,2015
51,Underworld: Blood Wars,Anna Foerster,2016
52,Mother's Day,Garry Marshall,2016
53,John Wick,Chad Stahelski,2014
54,The Dark Knight,Christopher Nolan,2008
55,Silence,Martin Scorsese,2016
56,Don't Breathe,Fede Alvarez,2016
57,Me Before You,Thea Sharrock,2016
58,Their Finest,Lone Scherfig,2016
59,Sully,Clint Eastwood,2016
60,Batman v Superman: Dawn of Justice,Zack Snyder,2016
61,The Autopsy of Jane Doe,André Øvredal,2016
62,The Girl on the Train,Tate Taylor,2016
63,Fifty Shades of Grey,Sam Taylor-Johnson,2015
64,The Prestige,Christopher Nolan,2006
65,Kingsman: The Secret Service,Matthew Vaughn,2014
66,Patriots Day,Peter Berg,2016
67,Mad Max: Fury Road,George Miller,2015
68,Wakefield,Robin Swicord,2016
69,Deepwater Horizon,Peter Berg,2016
70,The Promise,Terry George,2016
71,Allied,Robert Zemeckis,2016
72,A Monster Calls,J.A. Bayona,2016
73,Collateral Beauty,David Frankel,2016
74,Zootopia,Byron Howard,2016
75,Pirates of the Caribbean: At World's End,Gore Verbinski,2007
76,The Avengers,Joss Whedon,2012
77,Inglourious Basterds,Quentin Tarantino,2009
78,Pirates of the Caribbean: Dead Man's Chest,Gore Verbinski,2006
79,Ghostbusters,Paul Feig,2016
80,Inception,Christopher Nolan,2010
81,Captain Fantastic,Matt Ross,2016
82,The Wolf of Wall Street,Martin Scorsese,2013
83,Gone Girl,David Fincher,2014
84,Furious Seven,James Wan,2015
85,Jurassic World,Colin Trevorrow,2015
86,Live by Night,Ben Affleck,2016
87,Avatar,James Cameron,2009
88,The Hateful Eight,Quentin Tarantino,2015
89,The Accountant,Gavin O'Connor,2016
90,Prisoners,Denis Villeneuve,2013
91,Warcraft,Duncan Jones,2016
92,The Help,Tate Taylor,2011
93,War Dogs,Todd Phillips,2016
94,Avengers: Age of Ultron,Joss Whedon,2015
95,The Nice Guys,Shane Black,2016
96,Kimi no na wa,Makoto Shinkai,2016
97,The Void,Jeremy Gillespie,2016
98,Personal Shopper,Olivier Assayas,2016
99,The Departed,Martin Scorsese,2006
100,Legend,Brian Helgeland,2015
101,Thor,Kenneth Branagh,2011
102,The Martian,Ridley Scott,2015
103,Contratiempo,Oriol Paulo,2016
104,The Man from U.N.C.L.E.,Guy Ritchie,2015
105,Hell or High Water,David Mackenzie,2016
106,The Comedian,Taylor Hackford,2016
107,The Legend of Tarzan,David Yates,2016
108,All We Had,Katie Holmes,2016
109,Ex Machina,Alex Garland,2014
110,The Belko Experiment,Greg McLean,2016
111,12 Years a Slave,Steve McQueen,2013
112,The Bad Batch,Ana Lily Amirpour,2016
113,300,Zack Snyder,2006
114,Harry Potter and the Deathly Hallows: Part 2,David Yates,2011
115,Office Christmas Party,Josh Gordon,2016
116,The Neon Demon,Nicolas Winding Refn,2016
117,Dangal,Nitesh Tiwari,2016
118,10 Cloverfield Lane,Dan Trachtenberg,2016
119,Finding Dory,Andrew Stanton,2016
120,Miss Peregrine's Home for Peculiar Children,Tim Burton,2016
121,Divergent,Neil Burger,2014
122,Mike and Dave Need Wedding Dates,Jake Szymanski,2016
123,Boyka: Undisputed IV,Todor Chapkanov,2016
124,The Dark Knight Rises,Christopher Nolan,2012
125,The Jungle Book,Jon Favreau,2016
126,Transformers: Age of Extinction,Michael Bay,2014
127,Nerve,Henry Joost,2016
128,Mamma Mia!,Phyllida Lloyd,2008
129,The Revenant,Alejandro González Iñárritu,2015
130,Fences,Denzel Washington,2016
131,Into the Woods,Rob Marshall,2014
132,The Shallows,Jaume Collet-Serra,2016
133,Whiplash,Damien Chazelle,2014
134,Furious 6,Justin Lin,2013
135,The Place Beyond the Pines,Derek Cianfrance,2012
136,No Country for Old Men,Ethan Coen,2007
137,The Great Gatsby,Baz Luhrmann,2013
138,Shutter Island,Martin Scorsese,2010
139,Brimstone,Martin Koolhoven,2016
140,Star Trek,J.J. Abrams,2009
141,Diary of a Wimpy Kid,Thor Freudenthal,2010
142,The Big Short,Adam McKay,2015
143,Room,Lenny Abrahamson,2015
144,Django Unchained,Quentin Tarantino,2012
145,Ah-ga-ssi,Chan-wook Park,2016
146,The Edge of Seventeen,Kelly Fremon Craig,2016
147,Watchmen,Zack Snyder,2009
148,Superbad,Greg Mottola,2007
149,Inferno,Ron Howard,2016
150,The BFG,Steven Spielberg,2016
151,The Hunger Games,Gary Ross,2012
152,White Girl,Elizabeth Wood,2016
153,Sicario,Denis Villeneuve,2015
154,Twin Peaks: The Missing Pieces,David Lynch,2014
155,Aliens vs Predator - Requiem,Colin Strause,2007
156,Pacific Rim,Guillermo del Toro,2013
157,"Crazy, Stupid, Love.",Glenn Ficarra,2011
158,Scott Pilgrim vs. the World,Edgar Wright,2010
159,Hot Fuzz,Edgar Wright,2007
160,Mine,Fabio Guaglione,2016
161,Free Fire,Ben Wheatley,2016
162,X-Men: Days of Future Past,Bryan Singer,2014
163,Jack Reacher: Never Go Back,Edward Zwick,2016
164,Casino Royale,Martin Campbell,2006
165,Twilight,Catherine Hardwicke,2008
166,Now You See Me 2,Jon M. Chu,2016
167,Woman in Gold,Simon Curtis,2015
168,13 Hours,Michael Bay,2016
169,Spectre,Sam Mendes,2015
170,Nightcrawler,Dan Gilroy,2014
171,Kubo and the Two Strings,Travis Knight,2016
172,Beyond the Gates,Jackson Stewart,2016
173,Her,Spike Jonze,2013
174,Frozen,Chris Buck,2013
175,Tomorrowland,Brad Bird,2015
176,Dawn of the Planet of the Apes,Matt Reeves,2014
177,Tropic Thunder,Ben Stiller,2008
178,The Conjuring 2,James Wan,2016
179,Ant-Man,Peyton Reed,2015
180,Bridget Jones's Baby,Sharon Maguire,2016
181,The VVitch: A New-England Folktale,Robert Eggers,2015
182,Cinderella,Kenneth Branagh,2015
183,Realive,Mateo Gil,2016
184,Forushande,Asghar Farhadi,2016
185,Love,Gaspar Noé,2015
186,Billy Lynn's Long Halftime Walk,Ang Lee,2016
187,Crimson Peak,Guillermo del Toro,2015
188,Drive,Nicolas Winding Refn,2011
189,Trainwreck,Judd Apatow,2015
190,The Light Between Oceans,Derek Cianfrance,2016
191,Below Her Mouth,April Mullen,2016
192,Spotlight,Tom McCarthy,2015
193,Morgan,Luke Scott,2016
194,Warrior,Gavin O'Connor,2011
195,Captain America: The First Avenger,Joe Johnston,2011
196,Hacker,Akan Satayev,2016
197,Into the Wild,Sean Penn,2007
198,The Imitation Game,Morten Tyldum,2014
199,Central Intelligence,Rawson Marshall Thurber,2016
200,Edge of Tomorrow,Doug Liman,2014
201,A Cure for Wellness,Gore Verbinski,2016
202,Snowden,Oliver Stone,2016
203,Iron Man,Jon Favreau,2008
204,Allegiant,Robert Schwentke,2016
205,X: First Class,Matthew Vaughn,2011
206,Raw (II),Julia Ducournau,2016
207,Paterson,Jim Jarmusch,2016
208,Bridesmaids,Paul Feig,2011
209,The Girl with All the Gifts,Colm McCarthy,2016
210,San Andreas,Brad Peyton,2015
211,Spring Breakers,Harmony Korine,2012
212,Transformers,Michael Bay,2007
213,Old Boy,Spike Lee,2013
214,Thor: The Dark World,Alan Taylor,2013
215,Gods of Egypt,Alex Proyas,2016
216,Captain America: The Winter Soldier,Anthony Russo,2014
217,Monster Trucks,Chris Wedge,2016
218,A Dark Song,Liam Gavin,2016
219,Kick-Ass,Matthew Vaughn,2010
220,Hardcore Henry,Ilya Naishuller,2015
221,Cars,John Lasseter,2006
222,It Follows,David Robert Mitchell,2014
223,The Girl with the Dragon Tattoo,David Fincher,2011
224,We're the Millers,Rawson Marshall Thurber,2013
225,American Honey,Andrea Arnold,2016
226,The Lobster,Yorgos Lanthimos,2015
227,Predators,Nimród Antal,2010
228,Maleficent,Robert Stromberg,2014
229,Rupture,Steven Shainberg,2016
230,Pan's Labyrinth,Guillermo del Toro,2006
231,A Kind of Murder,Andy Goddard,2016
232,Apocalypto,Mel Gibson,2006
233,Mission: Impossible - Rogue Nation,Christopher McQuarrie,2015
234,The Huntsman: Winter's War,Cedric Nicolas-Troyan,2016
235,The Perks of Being a Wallflower,Stephen Chbosky,2012
236,Jackie,Pablo Larraín,2016
237,The Disappointments Room,D.J. Caruso,2016
238,The Grand Budapest Hotel,Wes Anderson,2014
239,The Host,Andrew Niccol,2013
240,Fury,David Ayer,2014
241,Inside Out,Pete Docter,2015
242,Rock Dog,Ash Brannon,2016
243,Terminator Genisys,Alan Taylor,2015
244,Percy Jackson & the Olympians: The Lightning Thief,Chris Columbus,2010
245,Les Misérables,Tom Hooper,2012
246,Children of Men,Alfonso Cuarón,2006
247,20th Century Women,Mike Mills,2016
248,Spy,Paul Feig,2015
249,The Intouchables,Olivier Nakache,2011
250,Bonjour Anne,Eleanor Coppola,2016
251,Kynodontas,Yorgos Lanthimos,2009
252,Straight Outta Compton,F. Gary Gray,2015
253,The Amazing Spider-Man 2,Marc Webb,2014
254,The Conjuring,James Wan,2013
255,The Hangover,Todd Phillips,2009
256,Battleship,Peter Berg,2012
257,Rise of the Planet of the Apes,Rupert Wyatt,2011
258,Lights Out,David F. Sandberg,2016
259,Norman: The Moderate Rise and Tragic Fall of a New York Fixer,Joseph Cedar,2016
260,Birdman or (The Unexpected Virtue of Ignorance),Alejandro González Iñárritu,2014
261,Black Swan,Darren Aronofsky,2010
262,Dear White People,Justin Simien,2014
263,Nymphomaniac: Vol. I,Lars von Trier,2013
264,Teenage Mutant Ninja Turtles: Out of the Shadows,Dave Green,2016
265,Knock Knock,Eli Roth,2015
266,Dirty Grandpa,Dan Mazer,2016
267,Cloud Atlas,Tom Tykwer,2012
268,X-Men Origins: Wolverine,Gavin Hood,2009
269,Satanic,Jeffrey G. Hunt,2016
270,Skyfall,Sam Mendes,2012
271,The Hobbit: An Unexpected Journey,Peter Jackson,2012
272,21 Jump Street,Phil Lord,2012
273,Sing Street,John Carney,2016
274,Ballerina,Eric Summer,2016
275,Oblivion,Joseph Kosinski,2013
276,22 Jump Street,Phil Lord,2014
277,Zodiac,David Fincher,2007
278,Everybody Wants Some!!,Richard Linklater,2016
279,Iron Man Three,Shane Black,2013
280,Now You See Me,Louis Leterrier,2013
281,Sherlock Holmes,Guy Ritchie,2009
282,Death Proof,Quentin Tarantino,2007
283,The Danish Girl,Tom Hooper,2015
284,Hercules,Brett Ratner,2014
285,Sucker Punch,Zack Snyder,2011
286,Keeping Up with the Joneses,Greg Mottola,2016
287,Jupiter Ascending,Lana Wachowski,2015
288,Masterminds,Jared Hess,2016
289,Iris,Jalil Lespert,2016
290,Busanhaeng,Sang-ho Yeon,2016
291,Pitch Perfect,Jason Moore,2012
292,Neighbors 2: Sorority Rising,Nicholas Stoller,2016
293,The Exception,David Leveaux,2016
294,Man of Steel,Zack Snyder,2013
295,The Choice,Ross Katz,2016
296,Ice Age: Collision Course,Mike Thurmeier,2016
297,The Devil Wears Prada,David Frankel,2006
298,The Infiltrator,Brad Furman,2016
299,There Will Be Blood,Paul Thomas Anderson,2007
300,The Equalizer,Antoine Fuqua,2014
301,Lone Survivor,Peter Berg,2013
302,The Cabin in the Woods,Drew Goddard,2012
303,The House Bunny,Fred Wolf,2008
304,She's Out of My League,Jim Field Smith,2010
305,Inherent Vice,Paul Thomas Anderson,2014
306,Alice Through the Looking Glass,James Bobin,2016
307,Vincent N Roxxy,Gary Michael Schultz,2016
308,The Fast and the Furious: Tokyo Drift,Justin Lin,2006
309,How to Be Single,Christian Ditter,2016
310,The Blind Side,John Lee Hancock,2009
311,La vie d'Adèle,Abdellatif Kechiche,2013
312,The Babadook,Jennifer Kent,2014
313,The Hobbit: The Battle of the Five Armies,Peter Jackson,2014
314,Harry Potter and the Order of the Phoenix,David Yates,2007
315,Snowpiercer,Bong Joon Ho,2013
316,The 5th Wave,J Blakeson,2016
317,The Stakelander,Dan Berk,2016
318,The Visit,M. Night Shyamalan,2015
319,Fast Five,Justin Lin,2011
320,Step Up,Anne Fletcher,2006
321,Lovesong,So Yong Kim,2016
322,RocknRolla,Guy Ritchie,2008
323,In Time,Andrew Niccol,2011
324,The Social Network,David Fincher,2010
325,The Last Witch Hunter,Breck Eisner,2015
326,Victor Frankenstein,Paul McGuigan,2015
327,A Street Cat Named Bob,Roger Spottiswoode,2016
328,Green Room,Jeremy Saulnier,2015
329,Blackhat,Michael Mann,2015
330,Storks,Nicholas Stoller,2016
331,American Sniper,Clint Eastwood,2014
332,Dallas Buyers Club,Jean-Marc Vallée,2013
333,Lincoln,Steven Spielberg,2012
334,Rush,Ron Howard,2013
335,Before I Wake,Mike Flanagan,2016
336,Silver Linings Playbook,David O. Russell,2012
337,Tracktown,Alexi Pappas,2016
338,The Fault in Our Stars,Josh Boone,2014
339,Blended,Frank Coraci,2014
340,Fast & Furious,Justin Lin,2009
341,Looper,Rian Johnson,2012
342,White House Down,Roland Emmerich,2013
343,Pete's Dragon,David Lowery,2016
344,Spider-Man 3,Sam Raimi,2007
345,The Three Musketeers,Paul W.S. Anderson,2011
346,Stardust,Matthew Vaughn,2007
347,American Hustle,David O. Russell,2013
348,Jennifer's Body,Karyn Kusama,2009
349,Midnight in Paris,Woody Allen,2011
350,Lady Macbeth,William Oldroyd,2016
351,Joy,David O. Russell,2015
352,The Dressmaker,Jocelyn Moorhouse,2015
353,Cafe Society,Woody Allen,2016
354,Insurgent,Robert Schwentke,2015
355,Seventh Son,Sergei Bodrov,2014
356,Demain tout commence,Hugo Gélin,2016
357,The Theory of Everything,James Marsh,2014
358,This Is the End,Evan Goldberg,2013
359,About Time,Richard Curtis,2013
360,Step Brothers,Adam McKay,2008
361,Clown,Jon Watts,2014
362,Star Trek Into Darkness,J.J. Abrams,2013
363,Zombieland,Ruben Fleischer,2009
364,"Hail, Caesar!",Ethan Coen,2016
365,Slumdog Millionaire,Danny Boyle,2008
366,The Twilight Saga: Breaking Dawn - Part 2,Bill Condon,2012
367,American Wrestler: The Wizard,Alex Ranarivelo,2016
368,The Amazing Spider-Man,Marc Webb,2012
369,Ben-Hur,Timur Bekmambetov,2016
370,Sleight,J.D. Dillard,2016
371,The Maze Runner,Wes Ball,2014
372,Criminal,Ariel Vromen,2016
373,Wanted,Timur Bekmambetov,2008
374,Florence Foster Jenkins,Stephen Frears,2016
375,Collide,Eran Creevy,2016
376,Black Mass,Scott Cooper,2015
377,Creed,Ryan Coogler,2015
378,Swiss Army Man,Dan Kwan,2016
379,The Expendables 3,Patrick Hughes,2014
380,What We Do in the Shadows,Jemaine Clement,2014
381,Southpaw,Antoine Fuqua,2015
382,Hush,Mike Flanagan,2016
383,Bridge of Spies,Steven Spielberg,2015
384,The Lego Movie,Phil Lord,2014
385,Everest,Baltasar Kormákur,2015
386,Pixels,Chris Columbus,2015
387,Robin Hood,Ridley Scott,2010
388,The Wolverine,James Mangold,2013
389,John Carter,Andrew Stanton,2012
390,Keanu,Peter Atencio,2016
391,The Gunman,Pierre Morel,2015
392,Steve Jobs,Danny Boyle,2015
393,Whisky Galore,Gillies MacKinnon,2016
394,Grown Ups 2,Dennis Dugan,2013
395,The Age of Adaline,Lee Toland Krieger,2015
396,The Incredible Hulk,Louis Leterrier,2008
397,Couples Retreat,Peter Billingsley,2009
398,Absolutely Anything,Terry Jones,2015
399,Magic Mike,Steven Soderbergh,2012
400,Minions,Kyle Balda,2015
401,The Black Room,Rolfe Kanefsky,2016
402,Bronson,Nicolas Winding Refn,2008
403,Despicable Me,Pierre Coffin,2010
404,The Best of Me,Michael Hoffman,2014
405,The Invitation,Karyn Kusama,2015
406,Zero Dark Thirty,Kathryn Bigelow,2012
407,Tangled,Nathan Greno,2010
408,The Hunger Games: Mockingjay - Part 2,Francis Lawrence,2015
409,Vacation,John Francis Daley,2015
410,Taken,Pierre Morel,2008
411,Pitch Perfect 2,Elizabeth Banks,2015
412,Monsters University,Dan Scanlon,2013
413,Elle,Paul Verhoeven,2016
414,Mechanic: Resurrection,Dennis Gansel,2016
415,Tusk,Kevin Smith,2014
416,The Headhunter's Calling,Mark Williams,2016
417,Atonement,Joe Wright,2007
418,Harry Potter and the Deathly Hallows: Part 1,David Yates,2010
419,Shame,Steve McQueen,2011
420,Hanna,Joe Wright,2011
421,The Babysitters,David Ross,2007
422,Pride and Prejudice and Zombies,Burr Steers,2016
423,300: Rise of an Empire,Noam Murro,2014
424,London Has Fallen,Babak Najafi,2016
425,The Curious Case of Benjamin Button,David Fincher,2008
426,Sin City: A Dame to Kill For,Frank Miller,2014
427,The Bourne Ultimatum,Paul Greengrass,2007
428,Srpski film,Srdjan Spasojevic,2010
429,The Purge: Election Year,James DeMonaco,2016
430,3 Idiots,Rajkumar Hirani,2009
431,Zoolander 2,Ben Stiller,2016
432,World War Z,Marc Forster,2013
433,Mission: Impossible - Ghost Protocol,Brad Bird,2011
434,Let Me Make You a Martyr,Corey Asraf,2016
435,Filth,Jon S. Baird,2013
436,The Longest Ride,George Tillman Jr.,2015
437,The imposible,J.A. Bayona,2012
438,Kick-Ass 2,Jeff Wadlow,2013
439,Folk Hero & Funny Guy,Jeff Grace,2016
440,Oz the Great and Powerful,Sam Raimi,2013
441,Brooklyn,John Crowley,2015
442,Coraline,Henry Selick,2009
443,Blue Valentine,Derek Cianfrance,2010
444,The Thinning,Michael J. Gallagher,2016
445,Silent Hill,Christophe Gans,2006
446,Dredd,Pete Travis,2012
447,Hunt for the Wilderpeople,Taika Waititi,2016
448,Big Hero 6,Don Hall,2014
449,Carrie,Kimberly Peirce,2013
450,Iron Man 2,Jon Favreau,2010
451,Demolition,Jean-Marc Vallée,2015
452,Pandorum,Christian Alvart,2009
453,Olympus Has Fallen,Antoine Fuqua,2013
454,I Am Number Four,D.J. Caruso,2011
455,Jagten,Thomas Vinterberg,2012
456,The Proposal,Anne Fletcher,2009
457,Get Hard,Etan Cohen,2015
458,Just Go with It,Dennis Dugan,2011
459,Revolutionary Road,Sam Mendes,2008
460,The Town,Ben Affleck,2010
461,The Boy,William Brent Bell,2016
462,Denial,Mick Jackson,2016
463,Predestination,Michael Spierig,2014
464,Goosebumps,Rob Letterman,2015
465,Sherlock Holmes: A Game of Shadows,Guy Ritchie,2011
466,Salt,Phillip Noyce,2010
467,Enemy,Denis Villeneuve,2013
468,District 9,Neill Blomkamp,2009
469,The Other Guys,Adam McKay,2010
470,American Gangster,Ridley Scott,2007
471,Marie Antoinette,Sofia Coppola,2006
472,2012,Roland Emmerich,2009
473,Harry Potter and the Half-Blood Prince,David Yates,2009
474,Argo,Ben Affleck,2012
475,Eddie the Eagle,Dexter Fletcher,2016
476,The Lives of Others,Florian Henckel von Donnersmarck,2006
477,Pet,Carles Torrens,2016
478,Paint It Black,Amber Tamblyn,2016
479,Macbeth,Justin Kurzel,2015
480,Forgetting Sarah Marshall,Nicholas Stoller,2008
481,The Giver,Phillip Noyce,2014
482,Triple 9,John Hillcoat,2016
483,Perfetti sconosciuti,Paolo Genovese,2016
484,Angry Birds,Clay Kaytis,2016
485,Moonrise Kingdom,Wes Anderson,2012
486,Hairspray,Adam Shankman,2007
487,Safe Haven,Lasse Hallström,2013
488,Focus,Glenn Ficarra,2015
489,Ratatouille,Brad Bird,2007
490,Stake Land,Jim Mickle,2010
491,The Book of Eli,Albert Hughes,2010
492,Cloverfield,Matt Reeves,2008
493,Point Break,Ericson Core,2015
494,Under the Skin,Jonathan Glazer,2013
495,I Am Legend,Francis Lawrence,2007
496,Men in Black 3,Barry Sonnenfeld,2012
497,Super 8,J.J. Abrams,2011
